r_a1a2 = 3497 mm  at t = 5589293 ms, current time = 7.627
r_b1a2 = 2505 mm  at t = 2666539 ms, current time = 7.643
r_a1b2 = 4578 mm  at t = 5589326 ms, current time = 7.659
r_b1b2 = 3516 mm  at t = 2666572 ms, current time = 7.675
r_a1a2 = 3502 mm  at t = 5589408 ms, current time = 7.742
r_b1a2 = 2533 mm  at t = 2666654 ms, current time = 7.758
r_a1b2 = 4485 mm  at t = 5589441 ms, current time = 7.774
r_b1b2 = 3507 mm  at t = 2666687 ms, current time = 7.791
r_a1a2 = 3530 mm  at t = 5589524 ms, current time = 7.857
r_b1a2 = 2575 mm  at t = 2666770 ms, current time = 7.874
r_a1b2 = 4518 mm  at t = 5589556 ms, current time = 7.89
r_b1b2 = 3530 mm  at t = 2666803 ms, current time = 7.906
r_a1a2 = 3446 mm  at t = 5589639 ms, current time = 7.972
r_b1a2 = 2538 mm  at t = 2666885 ms, current time = 7.989
r_a1b2 = 4494 mm  at t = 5589671 ms, current time = 8.005
r_b1b2 = 3535 mm  at t = 2666918 ms, current time = 8.021
r_a1a2 = 3548 mm  at t = 5589754 ms, current time = 8.088
r_b1a2 = 2505 mm  at t = 2667000 ms, current time = 8.104
r_a1b2 = 4480 mm  at t = 5589786 ms, current time = 8.12
r_b1b2 = 3483 mm  at t = 2667033 ms, current time = 8.137
r_a1a2 = 3493 mm  at t = 5589869 ms, current time = 8.203
r_b1a2 = 2519 mm  at t = 2667115 ms, current time = 8.219
r_a1b2 = 4536 mm  at t = 5589901 ms, current time = 8.235
r_b1b2 = 3497 mm  at t = 2667148 ms, current time = 8.252
r_a1a2 = 3493 mm  at t = 5589985 ms, current time = 8.319
r_b1a2 = 2542 mm  at t = 2667231 ms, current time = 8.335
r_a1b2 = 4517 mm  at t = 5590017 ms, current time = 8.351
r_b1b2 = 3521 mm  at t = 2667263 ms, current time = 8.367
r_a1a2 = 3493 mm  at t = 5590100 ms, current time = 8.435
r_b1a2 = 2477 mm  at t = 2667347 ms, current time = 8.451
r_a1b2 = 4494 mm  at t = 5590133 ms, current time = 8.467
r_b1b2 = 3539 mm  at t = 2667379 ms, current time = 8.483
r_a1a2 = 3483 mm  at t = 5590215 ms, current time = 8.549
r_b1a2 = 2505 mm  at t = 2667461 ms, current time = 8.565
r_a1b2 = 4541 mm  at t = 5590247 ms, current time = 8.581
r_b1b2 = 3474 mm  at t = 2667493 ms, current time = 8.597
r_a1a2 = 3488 mm  at t = 5590329 ms, current time = 8.664
r_b1a2 = 2481 mm  at t = 2667576 ms, current time = 8.68
r_a1b2 = 4471 mm  at t = 5590362 ms, current time = 8.696
r_b1b2 = 3502 mm  at t = 2667608 ms, current time = 8.712
r_a1a2 = 3474 mm  at t = 5590444 ms, current time = 8.778
